container,size,date,time,ter,good
BSIU2352327,20,29/6/2558,12:04:11,0252,5806A0285194
KMTU7335149,20,29/6/2558,12:04:43,0252,5806A0285192
KMTU7261010,20,29/6/2558,12:09:56,0252,5806A0285201
TGHU0212922,20,29/6/2558,12:10:11,0252,5806A0285203
TCKU3076870,20,29/6/2558,12:20:27,0252,5806A0285198
KMTU7253204,20,29/6/2558,12:20:49,0252,5806A0285199
TCKUI387908,20,29/6/2558,12:27:53,0252,5806A0285207
TGHU3058718,20,29/6/2558,12:28:08,0252,5806A0285210
FCIU4492974,20,29/6/2558,12:28:30,0252,5806A0285211
KMTU7252595,20,29/6/2558,12:28:51,0252,5806A0285217
TGHU2206997,20,29/6/2558,12:36:47,0252,5806A0306861
KMTU7240188,20,29/6/2558,12:37:05,0252,5806A0306855
SEGUI841449,20,29/6/2558,12:53:10,0252,5806A0306848
SEGUI375016,20,29/6/2558,12:53:23,0252,5806A0306841
TEMU3113496,20,29/6/2558,12:55:44,0252,5806A0306854
KMTU7308776,20,29/6/2558,12:56:40,0252,5806A0306853
SITU2878076,20,29/6/2558,13:08:56,0252,5806A0309605
UETU2333126,20,29/6/2558,13:09:44,0252,5806A0309623
DFSU1904177,20,29/6/2558,13:15:40,0252,5806A0306840
KMTU7281206,20,29/6/2558,13:15:54,0252,5806A0306838
TEMU4109905,20,29/6/2558,13:17:25,0252,5806A0309617
DFSU1266658,20,29/6/2558,13:17:52,0252,5806A0309616
SEGU1558207,20,29/6/2558,13:18:15,0252,5806A0309620
TGHU0768721,20,29/6/2558,13:19:30,0252,5806A0306837
SEGU1831190,20,29/6/2558,13:20:18,0252,5806A0309622
TEMU4831158,20,29/6/2558,13:20:37,0252,5806A0309615
TEMU4653570,20,29/6/2558,13:21:37,0252,5806A0309630
BMOU2623547,20,29/6/2558,13:21:52,0252,5806A0309619
UETU2336850,20,29/6/2558,13:22:22,0252,5806A0309604
TRHU3291151,20,29/6/2558,13:22:36,0252,5806A0309609
TEMU2964995,20,29/6/2558,13:22:47,0252,5806A0309618
SITU2954474,20,29/6/2558,13:23:01,0252,5806A0309612
SEGUI333767,20,29/6/2558,13:23:58,0252,5806A0309621
RFCU2284067,20,29/6/2558,13:24:13,0252,5806A0309626
SITU2858608,20,29/6/2558,13:26:29,0252,5806A0309610
DFSUI904388,20,29/6/2558,13:28:04,0252,5806A0306834
BMOU2788613,20,29/6/2558,13:32:19,0252,5806A0309695
